 Roll Number, Gender,Location,What_are_the_usual_causes_of_stress_in_your_daily_online_class ,What_are_the_usual_behavioral_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_PSYCHOLOGICAL_or_EMOTIONAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_PHYSICAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_COGNITIVE_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_SOCIAL_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_your_personal_methods_to_relieve_stress,How_stressed_do_you_feel_on_a_daily_basis_during_the_academic_year,Found_that_you_could_not_cope_with_all_the_things_you_had_to_do,When_do_you_feel_mostly_stressed,How_effective_has_remote_learning_been_for_you                  ,How_well_could_you_manage_time_while_learning_remotely,Do_you_enjoy_learning_remotely
2010030069,Male,Rural,Environmental Background Noise,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty sharing ideas,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, absolutely"
190330128,Male,Urban,Environmental Background Noise,Difficulty communicating,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty sharing ideas,Talking with someone,Average Stressed,Sometimes,Online class during day time,Not at all effective,Bad,"No, there are quite a few challenges"
2010030155,Female,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,Headaches,Confusion,Withdrawing or isolating from people,Sleeping,Less Stressed,Sometimes,Assignment submision deadline,Very effective,Average,"Yes, absolutely"
2010030257,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,Less Stressed,Sometimes,Online class during evening time,Not at all effective,Average,"Yes, but I would like to change a few things"
180330148,Male,Rural,Feeling no stress,No changes in behaviour,"Feeling isolated, lost, lonely or abandoned, missing friends",Tremors or muscle twitching,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Very Bad,"No, there are quite a few challenges"
2010040078,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty sharing ideas,Sleeping,Not Stressed at All,Sometimes,Online Examination time,Slightly effective,Average,"Yes, but I would like to change a few things"
2010040071,Male,Rural,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Talking with someone,Average Stressed,Sometimes,Online class during day time,Slightly effective,Average,Never
2010030141,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Social Media,Less Stressed,Almost Never,Assignment submision deadline,Extremely effective,Good,"Yes, absolutely"
2010030101,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Sleeping,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030088,Female,Urban,Feeling no stress,Decreased efficiency and effectiveness,Anxlety or fear,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030551,Male,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
2010030065,Male,Rural,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression","Digestion Problem, Upset stomach, nausea, diarrhea",Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Very Often,Online Examination time,Extremely effective,Very Bad,Never
180330079,Male,Rural,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Slightly effective,Average,Never
2010030296,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,highly stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
2010030168,Female,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Less Stressed,Sometimes,Assignment submision deadline,Very effective,Very good,"Yes, absolutely"
180330137,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Very Often,Online class during evening time,Not at all effective,Very Bad,Never
2010030250,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Very Often,Assignment submision deadline,Moderately effective,Good,"Yes, absolutely"
2010030074,Male,Rural,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Talking with someone,highly stressed,Almost Never,Assignment submision deadline,Slightly effective,Very Bad,"No, there are quite a few challenges"
2010030284,Female,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Not Stressed at All,Never,Never feel stressed,Extremely effective,Good,"Yes, absolutely"
180330004,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Social Media,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010080064,Male,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Average Stressed,Sometimes,Never feel stressed,Very effective,Good,"Yes, but I would like to change a few things"
2010030147,Male,Urban,Family Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Slowness in thinking, analyzing, or comprehending",No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030336,Female,Urban,Environmental Background Noise,Change in activity levels,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030110,Female,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Sometimes,Online class during evening time,Very effective,Very good,"Yes, absolutely"
2010030283,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,highly stressed,Very Often,Online Examination time,Slightly effective,Very Bad,"Yes, but I would like to change a few things"
2010040119,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Not at all effective,Average,"No, there are quite a few challenges"
2010080035,Female,Urban,Feeling no stress,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,No cognitive effect,Difficulty listening,Sleeping,Less Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
2010030045,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Never,Assignment submision deadline,Very effective,Good,"Yes, absolutely"
2010030550,Female,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Not at all effective,Very good,"Yes, absolutely"
2010030030,Male,Rural,Feeling no stress,Difficulty communicating,"Sadness, moodiness, grief or depression",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030034,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030030,Male,Rural,Feeling no stress,Difficulty communicating,"Sadness, moodiness, grief or depression",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2020030386,Female,Urban,Family Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Eating,highly stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
2010080052,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
180330154,Male,Urban,Feeling no stress,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Sports / Exercise,Average Stressed,Sometimes,Online class during day time,Moderately effective,Very good,"Yes, but I would like to change a few things"
2010080051,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010080024,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Average Stressed,Never,Online class during evening time,Moderately effective,Very good,"Yes, but I would like to change a few things"
2010030548,Male,Urban,Health Issue,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Fairly Often,Online class during day time,Moderately effective,Very Bad,"Yes, but I would like to change a few things"
180330103,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330015,Male,Urban,Family Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Social Media,highly stressed,Fairly Often,Online class during evening time,Not at all effective,Average,"Yes, but I would like to change a few things"
2010030205,Female,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,Headaches,"Slowness in thinking, analyzing, or comprehending",No social effect,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Good,"Yes, absolutely"
2010080055,Male,Urban,Family Issue,Change in sleep patterns,No psychological and emotional effect,Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,"No, there are quite a few challenges"
190330042,Male,Urban,Environmental Background Noise,Difficulty communicating,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030097,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Very Often,Assignment submision deadline,Not at all effective,Good,"Yes, absolutely"
2010030025,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Almost Never,Never feel stressed,Not at all effective,Good,"Yes, absolutely"
2010030048,Female,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,No physical effect,Confusion,Difficulty engaging in mutual problem solving,Eating,Not Stressed at All,Sometimes,Assignment submision deadline,Very effective,Good,"Yes, absolutely"
2010030134,Female,Rural,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"Yes, absolutely"
2010080056,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Tremors or muscle twitching,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Very Often,Assignment submision deadline,Slightly effective,Bad,"No, there are quite a few challenges"
190330102,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Very Often,Online class during evening time,Very effective,Bad,Never
2010030041,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,"Slowness in thinking, analyzing, or comprehending",No social effect,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Very effective,Good,"Yes, but I would like to change a few things"
2010030113,Male,Urban,Family Issue,Change in activity levels,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"Yes, absolutely"
2010030129,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Not Stressed at All,Sometimes,Never feel stressed,Slightly effective,Good,"Yes, absolutely"
2010030329,Male,Urban,Health Issue,Change in activity levels,No psychological and emotional effect,No physical effect,No cognitive effect,Withdrawing or isolating from people,Computer Games,Less Stressed,Almost Never,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
180330164,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Headaches,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Very good,"Yes, but I would like to change a few things"
2010080001,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Social Media,highly stressed,Very Often,Online class during day time,Not at all effective,Very Bad,Never
2010030165,Female,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Computer Games,Average Stressed,Never,Assignment submision deadline,Slightly effective,Good,"Yes, absolutely"
180330161,Male,Urban,Family Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Talking with someone,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030191,Male,Urban,Health Issue,Change in activity levels,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Sometimes,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030493,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,Average Stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030179,Male,Urban,Health Issue,Decreased efficiency and effectiveness,Anxlety or fear,No physical effect,Difficulty Concentrating,No social effect,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Very effective,Very good,"Yes, absolutely"
2010080020,Female,Urban,Health Issue,Change in sleep patterns,Anxlety or fear,Headaches,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Never feel stressed,Not at all effective,Good,"Yes, absolutely"
2010030537,Female,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,Difficulty Concentrating,Withdrawing or isolating from people,Sleeping,highly stressed,Very Often,Online class during evening time,Moderately effective,Average,"No, there are quite a few challenges"
180330189,Male,Rural,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Sports / Exercise,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Good,"Yes, absolutely"
2010030385,Female,Rural,Environmental Background Noise,Change in activity levels,No psychological and emotional effect,Eye problem due to online class,Difficulty Concentrating,Difficulty sharing ideas,Social Media,Less Stressed,Sometimes,Online class during evening time,Very effective,Average,Never
180330223,Male,Urban,Environmental Background Noise,Change in activity levels,Anxlety or fear,No physical effect,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Eating,highly stressed,Almost Never,Online class during day time,Not at all effective,Very Bad,Never
2010040117,Male,Urban,Environmental Background Noise,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Computer Games,Not Stressed at All,Never,Online class during day time,Extremely effective,Good,"Yes, absolutely"
2010030300,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Less Stressed,Almost Never,Assignment submision deadline,Very effective,Very good,"Yes, absolutely"
2010080038,Female,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030568,Male,Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Headaches,Confusion,Difficulty listening,Sports / Exercise,highly stressed,Very Often,Online class during day time,Extremely effective,Average,"No, there are quite a few challenges"
2010080054,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Social Media,Not Stressed at All,Never,Never feel stressed,Very effective,Very good,"Yes, absolutely"
180330225,Male,Urban,Health Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Talking with someone,highly stressed,Almost Never,Assignment submision deadline,Not at all effective,Average,"No, there are quite a few challenges"
2010040011,Female,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010040043,Female,Urban,Feeling no stress,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during day time,Slightly effective,Very Bad,"Yes, but I would like to change a few things"
2010040011,Female,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030532,Male,Urban,Health Issue,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Computer Games,Not Stressed at All,Never,Never feel stressed,Not at all effective,Very good,"Yes, but I would like to change a few things"
2010030201,Male,Urban,Environmental Background Noise,Change in activity levels,No psychological and emotional effect,No physical effect,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Never,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030194,Male,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Less Stressed,Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010040041,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Talking with someone,Less Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"No, there are quite a few challenges"
2010040055,Male,Urban,Family Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Computer Games,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Average,"Yes, but I would like to change a few things"
2010040016,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Difficulty Concentrating,Withdrawing or isolating from people,Talking with someone,highly stressed,Almost Never,Assignment submision deadline,Not at all effective,Very Bad,Never
190330282,Male,Rural,Health Issue,Difficulty communicating,"Sadness, moodiness, grief or depression",Eye problem due to online class,Confusion,No social effect,Sports / Exercise,Less Stressed,Sometimes,Online class during day time,Slightly effective,Good,"Yes, but I would like to change a few things"
2010040070,Male,Rural,Environmental Background Noise,Difficulty communicating,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,Average Stressed,Sometimes,Online class during day time,Very effective,Very Bad,Never
2010040043,Female,Urban,Feeling no stress,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during day time,Slightly effective,Very Bad,"Yes, but I would like to change a few things"
2010030412,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,Anxlety or fear,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Fairly Often,Online class during day time,Not at all effective,Very Bad,Never
2010040058,Male,Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
190330177,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
190330009,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Moderately effective,Bad,"No, there are quite a few challenges"
190330177,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
190330003,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down",Anxlety or fear,Headaches,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Sometimes,Online class during day time,Not at all effective,Bad,Never
190330134,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Fairly Often,Online class during evening time,Very effective,Very Bad,Never
